EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,ADDRESS
119,Karen,Colmenares,KCOLMENA,515.127.4566,2007-08-10,PU_CLERK,2500,0.1,114,30,"123 Oakwood Ave, Rolling Meadows, IL 60008"
120,Matthew,Weiss,MWEISS,650.123.1234,2004-07-18,ST_MAN,8000,0.15,100,50,"234 Maple St, Palatine, IL 60067"
121,Adam,Fripp,AFRIPP,650.123.2234,2005-04-10,ST_MAN,8200,,100,50,"789 Birch Rd, Arlington Heights, IL 60004"
122,Payam,Kaufling,PKAUFLIN,650.123.3234,2003-05-01,ST_MAN,7900,0.07,100,50,"654 Cedar Ave, Lincolnwood, IL 60706"
123,Shanta,Vollman,SVOLLMAN,650.123.4234,2005-10-10,ST_MAN,6500,,100,50,"876 Oakwood Ln, Skokie, IL 60077"
124,Kevin,Mourgos,KMOURGOS,650.123.5234,2007-11-16,ST_MAN,5800,,100,50,"321 Pine St, Oak Park, IL 60302"
125,Julia,Nayer,JNAYER,650.124.1214,2005-07-16,ST_CLERK,3200,,120,50,"654 King St, Hinsdale, IL 60521"
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,2006-09-28,ST_CLERK,2700,,120,50,"987 Maple Ave, Evanston, IL 60201"
127,James,Landry,JLANDRY,650.124.1334,2007-01-14,ST_CLERK,2400,0.05,120,50,"543 Pinewood Ln, Oak Park, IL 60302"
128,Steven,Markle,SMARKLE,650.124.1434,2008-03-08,ST_CLERK,2200,,120,50,"432 Birchwood Rd, Schaumburg, IL 60194"
129,Laura,Bissot,LBISSOT,650.124.5234,2005-08-20,ST_CLERK,3300,,121,50,"321 Ash Ave, Skokie, IL 60076"
130,Mozhe,Atkinson,MATKINSO,650.124.6234,2005-10-30,ST_CLERK,2800,0.05,121,50,"876 Maple Rd, Oak Brook, IL 60523"
131,James,Marlow,JAMRLOW,650.124.7234,2005-02-16,ST_CLERK,2500,,121,50,"234 Oak Rd, Glenview, IL 60025"
132,TJ,Olson,TJOLSON,650.124.8234,2007-04-10,ST_CLERK,2100,0.03,121,50,"321 Birchwood St, Naperville, IL 60540"
133,Jason,Mallin,JMALLIN,650.127.1934,2004-06-14,ST_CLERK,3300,,122,50,"987 King Ave, Arlington Heights, IL 60004"
134,Michael,Rogers,MROGERS,650.127.1834,2006-08-26,ST_CLERK,2900,0.05,122,50,"765 Cedar Dr, Schaumburg, IL 60194"
135,Ki,Gee,KGEE,650.127.1734,2007-12-12,ST_CLERK,2400,,122,50,"543 Oakwood Rd, Skokie, IL 60077"
136,Hazel,Philtanker,HPHILTAN,650.127.1634,2008-02-06,ST_CLERK,2200,0.03,122,50,"876 Pine St, Glenview, IL 60026"
137,Renske,Ladwig,RLADWIG,650.121.1234,2003-07-14,ST_CLERK,3600,,123,50,"654 Ash Ave, Oak Park, IL 60302"
138,Stephen,Stiles,SSTILES,650.121.2034,2005-10-26,ST_CLERK,3200,,123,50,"321 Maple Rd, Schaumburg, IL 60194"
139,John,Seo,JSEO,650.121.2019,2006-02-12,ST_CLERK,2700,,123,50,"876 Cedar Ln, Elmhurst, IL 60126"
140,Joshua,Patel,JPATEL,650.121.1834,2006-04-06,ST_CLERK,2500,,123,50,"543 Birch St, Des Plaines, IL 60016"
